,Austria_PDs,Belgium_PDs,Croatia_PDs,Cyprus_PDs,Estonia_PDs,Finland_PDs,France_PDs,Germany_PDs,Greece_PDs,Ireland_PDs,Italy_PDs,Latvia_PDs,Lithuania_PDs,Luxembourg_PDs,Malta_PDs,Netherlands_PDs,Portugal_PDs,Slovakia_PDs,Slovenia_PDs,Spain_PDs,Austria_Weights,Belgium_Weights,Croatia_Weights,Cyprus_Weights,Estonia_Weights,Finland_Weights,France_Weights,Germany_Weights,Greece_Weights,Ireland_Weights,Italy_Weights,Latvia_Weights,Lithuania_Weights,Luxembourg_Weights,Malta_Weights,Netherlands_Weights,Portugal_Weights,Slovakia_Weights,Slovenia_Weights,Spain_Weights
2011-09,0.4437,0.3319,1.2077,3.2127,0.0006,0.0008,0.2513,0.1184,24.3564,1.0683,1.3516,0.5113,0.516,0.0053,2.4848,0.0345,3.3485,0.5323,0.2677,1.264,0.03247790222889484,0.039593522982758984,0.0,0.0,0.0017256714601337115,0.021130108605723823,0.22194010277173712,0.28965070693728096,0.0,0.0,0.1835591563121768,0.0,0.0,0.0044196799880032046,0.0006984640171438217,0.07168061006950273,0.0,0.006878172714773571,0.004021353127743365,0.12222454878412727
2011-10,0.4154,0.3601,0.7774,3.2933,6.1186,0.0009,0.2243,0.1037,25.1099,1.1713,1.3386,0.4754,0.4595,0.0057,2.289,0.0366,5.9188,0.5504,0.2772,1.3687,0.03247790222889484,0.039593522982758984,0.0,0.0,0.0017256714601337115,0.021130108605723823,0.22194010277173712,0.28965070693728096,0.0,0.0,0.1835591563121768,0.0,0.0,0.0044196799880032046,0.0006984640171438217,0.07168061006950273,0.0,0.006878172714773571,0.004021353127743365,0.12222454878412727
2011-11,0.4236,0.3777,0.8289,3.3118,1.7716,0.001,0.2237,0.1083,25.3567,1.146,1.2826,0.4655,0.403,0.0058,1.7641,0.0373,6.0652,0.5708,0.2825,1.4059,0.03247790222889484,0.039593522982758984,0.0,0.0,0.0017256714601337115,0.021130108605723823,0.22194010277173712,0.28965070693728096,0.0,0.0,0.1835591563121768,0.0,0.0,0.0044196799880032046,0.0006984640171438217,0.07168061006950273,0.0,0.006878172714773571,0.004021353127743365,0.12222454878412727
2011-12,0.4765,0.4048,0.8746,3.2937,0.586,0.001,0.2421,0.1165,25.9957,1.2205,1.303,0.4929,0.4248,0.0065,2.4419,0.0408,7.168,0.6198,0.3401,1.4663,0.03247790222889484,0.039593522982758984,0.0,0.0,0.0017256714601337115,0.021130108605723823,0.22194010277173712,0.28965070693728096,0.0,0.0,0.1835591563121768,0.0,0.0,0.0044196799880032046,0.0006984640171438217,0.07168061006950273,0.0,0.006878172714773571,0.004021353127743365,0.12222454878412727
2012-01,0.5786,0.4432,0.8329,3.3541,9.5327,0.001,0.2617,0.1299,27.0511,1.844,1.4692,0.4876,0.6467,0.0086,2.6272,0.0475,8.2807,0.8473,0.3942,1.7985,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-02,0.5307,0.4332,0.851,3.1204,1.3145,0.001,0.3237,0.1257,27.8692,4.0493,1.4762,0.6674,0.5793,0.0083,3.0129,0.0481,8.3739,0.8241,0.4782,1.6814,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-03,0.4736,0.3962,0.8531,3.2414,0.0012,0.001,0.3342,0.1219,28.4673,4.3401,1.4635,0.8632,0.6199,0.0083,2.7379,0.0427,10.5354,0.6917,0.4797,1.827,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-04,0.4928,0.4265,1.128,2.9399,0.0003,0.0008,0.3687,0.1269,31.4559,4.5256,1.7675,0.9028,0.5062,0.0097,2.5225,0.0492,12.4657,0.5468,0.4618,3.054,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-05,0.4285,0.3842,1.0541,2.6515,0.0002,0.0007,0.3374,0.1176,31.3897,3.6607,1.7758,0.78,0.4295,0.0087,2.3834,0.0435,11.8261,0.4852,0.5025,3.1559,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-06,0.41,0.3872,1.021,3.3436,0.0002,0.0007,0.3094,0.1124,31.2945,4.6457,1.7604,0.7978,0.4951,0.0069,2.3619,0.0434,10.5689,0.4825,0.6018,3.3476,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-07,0.4789,0.3896,1.3915,6.4971,0.0002,0.0008,0.313,0.1271,34.0989,3.9743,1.8944,1.0093,0.5553,0.0065,2.5753,0.05,11.3675,0.7845,0.5699,5.5683,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-08,0.4947,0.3966,1.4366,6.0465,0.0002,0.0008,0.2964,0.1286,32.8164,3.4364,1.9158,0.9747,0.6565,0.0068,2.6008,0.0517,9.7016,0.8369,0.5549,6.9745,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-09,0.4888,0.3945,1.4556,6.025,0.0002,0.0008,0.2835,0.1285,33.1485,2.5793,1.8742,0.9426,0.6474,0.0071,2.5907,0.0515,8.1965,0.8147,0.5255,6.1347,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-10,0.4863,0.3941,1.3083,7.268,0.0002,0.001,0.2768,0.1295,32.4151,2.6949,2.1546,0.8532,0.6552,0.0061,3.1427,0.0543,8.9028,0.7633,0.5539,6.9323,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-11,0.4773,0.3885,1.2577,8.1153,0.0002,0.0009,0.2597,0.1289,32.1754,2.5252,2.2067,0.778,0.6363,0.006,3.6215,0.052,8.5571,0.745,0.533,6.6998,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2012-12,0.4722,0.3842,1.1915,7.7907,0.0002,0.001,0.2593,0.129,31.4578,2.403,2.21,0.7957,0.6319,0.006,3.3884,0.0525,8.3231,0.7353,0.5359,5.8535,0.03274448400973138,0.039965697397736095,0.0,0.0,0.001760590341305676,0.021243482877222053,0.22213903705721671,0.2907762014351327,0.0,0.0,0.1819046530317774,0.0,0.0,0.004554496928899083,0.0007208485419681303,0.07171727674046516,0.0,0.007317328019512905,0.004060020396989027,0.12109588322204366
2013-01,0.4388,0.3856,1.1745,4.3146,0.0002,0.001,0.2633,0.1293,33.1056,2.2542,2.2415,0.7093,0.6736,0.0058,1.337,0.0538,8.8285,0.8291,0.9606,4.5314,0.03311742103634628,0.04047291976572172,0.0,0.0,0.0017770005118957915,0.02128661726349421,0.22283645931649676,0.2930204077352414,0.0,0.0,0.1799982725895312,0.0,0.0,0.004697116228928435,0.0007499567594292871,0.07165255704757587,0.0,0.007615041709839021,0.004033994588479632,0.11874223544702031
2013-02,0.4407,0.385,1.172,4.2063,0.0002,0.001,0.2623,0.1263,33.134,2.2549,2.2122,0.6931,0.6727,0.0058,1.1147,0.0547,8.5747,0.8302,0.9556,3.6465,0.032485516850453644,0.039700667379668236,0.0,0.0,0.0017430940654799328,0.020880453313181356,0.21858457958054003,0.28742936784126377,0.0,0.0,0.1765637762325251,0.0,0.0,0.004607491876735472,0.0007356470456686131,0.0702853747818257,0.019080718429104873,0.007469741243147695,0.00395702307359232,0.11647654828681325
2013-03,0.4383,0.3821,1.1683,4.1328,0.0002,0.0009,0.262,0.1253,33.3979,2.2475,2.1753,0.6606,0.6666,0.0059,0.814,0.0556,8.7219,0.8185,0.8929,3.8616,0.032485516850453644,0.039700667379668236,0.0,0.0,0.0017430940654799328,0.020880453313181356,0.21858457958054003,0.28742936784126377,0.0,0.0,0.1765637762325251,0.0,0.0,0.004607491876735472,0.0007356470456686131,0.0702853747818257,0.019080718429104873,0.007469741243147695,0.00395702307359232,0.11647654828681325
2013-04,0.5314,0.4163,2.0413,4.4635,0.0001,0.0009,0.2843,0.1251,33.1229,2.5248,2.6472,0.5223,0.5852,0.0058,0.6962,0.064,9.5389,0.5492,1.1655,4.8352,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-05,0.5641,0.4292,2.0803,4.5622,0.0001,0.0009,0.3062,0.1287,33.5282,2.1235,2.6401,0.5185,0.5703,0.006,0.7613,0.0675,9.3014,0.5652,1.2853,4.8392,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-06,0.5643,0.4559,2.0796,5.7705,0.0001,0.0009,0.3207,0.1324,34.0618,2.1251,2.6123,0.5264,0.7058,0.0062,0.715,0.0681,9.1205,0.5756,1.6442,4.7122,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-07,0.5665,0.4382,2.3949,15.6072,0.0001,0.001,0.3059,0.1313,37.7756,2.2539,2.6474,0.4809,0.5524,0.0052,0.6346,0.076,8.6194,0.8546,3.4374,4.6961,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-08,0.5209,0.4344,2.4455,15.32,0.0001,0.001,0.307,0.134,37.95,2.2748,2.64,0.5007,0.5419,0.0053,0.6894,0.0767,8.6256,0.9995,4.0149,4.1674,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-09,0.503,0.4318,2.472,15.105,0.0001,0.0011,0.2994,0.1332,37.518,2.2538,2.6529,0.4501,0.4817,0.0052,0.6425,0.0756,8.6004,0.8411,3.5334,4.1188,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-10,0.3835,0.3783,1.2502,14.2139,0.0001,0.0011,0.2473,0.1066,36.2452,1.9969,2.1636,0.3655,0.4369,0.0048,0.715,0.0587,6.6276,0.9504,3.3091,3.1829,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
2013-11,0.3873,0.3768,1.2914,13.3047,0.0001,0.0011,0.2449,0.1047,36.3944,1.9955,2.1718,0.3715,0.4429,0.0047,0.6898,0.0591,6.972,0.962,3.3175,3.2227,0.031880966423424986,0.038961844121039174,0.0,0.0,0.0017106553554391442,0.02049187131754475,0.214516754477568,0.28208035191305986,0.0,0.018609844805970062,0.17327795175848182,0.0,0.0,0.004521747167964659,0.00072195676831675,0.0689773748650065,0.01872562922035282,0.007330730517871963,0.003883383488299125,0.1143089377996606
